PersonID,Condition,Components
15,ECA + Audio,"[15,26]"
15,ECA + Audio,"[15,26]"
15,ECA + kein Audio,"[19,27]"
15,ECA + kein Audio,"[19,27]"
15,UI + kein Audio,"[16,14]"
15,UI + kein Audio,"[16,14]"
15,UI + Audio,"[18,25]"
15,UI + Audio,"[18,25]"
17,ECA + kein Audio,"[17,13]"
17,ECA + kein Audio,"[17,13]"
17,ECA + Audio,"[9,26]"
17,ECA + Audio,"[9,26]"
17,UI + kein Audio,"[21,15]"
17,UI + kein Audio,"[21,15]"
17,UI + Audio,"[25,14]"
17,UI + Audio,"[25,14]"
8,ECA + Audio,"[20,11]"
8,ECA + Audio,"[20,11]"
8,ECA + kein Audio,"[10,15]"
8,ECA + kein Audio,"[10,15]"
8,UI + Audio,"[24,22]"
8,UI + Audio,"[24,22]"
8,UI + kein Audio,"[19,21]"
8,UI + kein Audio,"[19,21]"
9,ECA + kein Audio,"[15,25]"
9,ECA + kein Audio,"[15,25]"
9,ECA + Audio,"[23,16]"
9,ECA + Audio,"[23,16]"
9,UI + kein Audio,"[26,13]"
9,UI + kein Audio,"[26,13]"
9,UI + Audio,"[14,21]"
9,UI + Audio,"[14,21]"
10,UI + kein Audio,"[14,27]"
10,UI + kein Audio,"[14,27]"
10,UI + Audio,"[11,8]"
10,UI + Audio,"[11,8]"
10,ECA + kein Audio,"[26,4]"
10,ECA + kein Audio,"[26,4]"
10,ECA + Audio,"[21,19]"
10,ECA + Audio,"[21,19]"
12,ECA + kein Audio,"[18,15]"
12,ECA + kein Audio,"[18,15]"
12,ECA + Audio,"[11,17]"
12,ECA + Audio,"[11,17]"
12,UI + Audio,"[25,20]"
12,UI + Audio,"[25,20]"
12,UI + kein Audio,"[12,8]"
12,UI + kein Audio,"[12,8]"
13,UI + kein Audio,"[13,20]"
13,UI + kein Audio,"[13,20]"
13,UI + Audio,"[9,25]"
13,UI + Audio,"[9,25]"
13,ECA + Audio,"[10,12]"
13,ECA + Audio,"[10,12]"
13,ECA + kein Audio,"[22,27]"
13,ECA + kein Audio,"[22,27]"
31,ECA + Audio,"[22,13]"
31,ECA + Audio,"[22,13]"
31,ECA + kein Audio,"[10,27]"
31,ECA + kein Audio,"[10,27]"
31,UI + kein Audio,"[19,14]"
31,UI + kein Audio,"[19,14]"
31,UI + Audio,"[17,24]"
31,UI + Audio,"[17,24]"
2,UI + kein Audio,"[24,19]"
2,UI + kein Audio,"[24,19]"
2,UI + Audio,"[17,4]"
2,UI + Audio,"[17,4]"
2,ECA + kein Audio,"[22,16]"
2,ECA + kein Audio,"[22,16]"
2,ECA + Audio,"[21,14]"
2,ECA + Audio,"[21,14]"
16,ECA + Audio,"[4,9]"
16,ECA + Audio,"[4,9]"
16,ECA + kein Audio,"[14,20]"
16,ECA + kein Audio,"[14,20]"
16,UI + Audio,"[23,26]"
16,UI + Audio,"[23,26]"
16,UI + kein Audio,"[15,22]"
16,UI + kein Audio,"[15,22]"
6,UI + Audio,"[8,25]"
6,UI + Audio,"[8,25]"
6,UI + kein Audio,"[17,26]"
6,UI + kein Audio,"[17,26]"
6,ECA + Audio,"[22,20]"
6,ECA + Audio,"[22,20]"
6,ECA + kein Audio,"[14,24]"
6,ECA + kein Audio,"[14,24]"
7,ECA + Audio,"[19,6]"
7,ECA + Audio,"[19,6]"
7,ECA + kein Audio,"[25,18]"
7,ECA + kein Audio,"[25,18]"
7,UI + kein Audio,"[12,26]"
7,UI + kein Audio,"[12,26]"
7,UI + Audio,"[21,7]"
7,UI + Audio,"[21,7]"
22,UI + Audio,"[11]"
22,UI + Audio,"[11]"
22,UI + kein Audio,"[18]"
22,UI + kein Audio,"[18]"
22,ECA + Audio,"[22]"
22,ECA + Audio,"[22]"
22,ECA + kein Audio,"[21]"
22,ECA + kein Audio,"[21]"
11,UI + Audio,"[21,14]"
11,UI + Audio,"[21,14]"
11,UI + kein Audio,"[20,25]"
11,UI + kein Audio,"[20,25]"
11,ECA + kein Audio,"[27,22]"
11,ECA + kein Audio,"[27,22]"
11,ECA + Audio,"[24,26]"
11,ECA + Audio,"[24,26]"
14,UI + Audio,"[25,19]"
14,UI + Audio,"[25,19]"
14,UI + kein Audio,"[27,18]"
14,UI + kein Audio,"[27,18]"
14,ECA + Audio,"[17,24]"
14,ECA + Audio,"[17,24]"
14,ECA + kein Audio,"[13,6]"
14,ECA + kein Audio,"[13,6]"
19,UI + Audio,"[13,21]"
19,UI + Audio,"[13,21]"
19,UI + kein Audio,"[27,14]"
19,UI + kein Audio,"[27,14]"
19,ECA + kein Audio,"[16,23]"
19,ECA + kein Audio,"[16,23]"
19,ECA + Audio,"[12,20]"
19,ECA + Audio,"[12,20]"
18,UI + kein Audio,"[14,17]"
18,UI + kein Audio,"[14,17]"
18,UI + Audio,"[20,10]"
18,UI + Audio,"[20,10]"
18,ECA + kein Audio,"[8,16]"
18,ECA + kein Audio,"[8,16]"
18,ECA + Audio,"[21,15]"
18,ECA + Audio,"[21,15]"
3,UI + Audio,"[19,24]"
3,UI + Audio,"[19,24]"
3,UI + kein Audio,"[17,22]"
3,UI + kein Audio,"[17,22]"
3,ECA + kein Audio,"[27,11]"
3,ECA + kein Audio,"[27,11]"
3,ECA + Audio,"[26,23]"
3,ECA + Audio,"[26,23]"
20,ECA + kein Audio,"[22,14]"
20,ECA + kein Audio,"[22,14]"
20,ECA + Audio,"[18,11]"
20,ECA + Audio,"[18,11]"
20,UI + Audio,"[13,26]"
20,UI + Audio,"[13,26]"
20,UI + kein Audio,"[8,16]"
20,UI + kein Audio,"[8,16]"
21,UI + kein Audio,"[17,16]"
21,UI + kein Audio,"[17,16]"
21,UI + Audio,"[26,19]"
21,UI + Audio,"[26,19]"
21,ECA + Audio,"[11,15]"
21,ECA + Audio,"[11,15]"
21,ECA + kein Audio,"[9,22]"
21,ECA + kein Audio,"[9,22]"
4,ECA + kein Audio,"[19,27]"
4,ECA + kein Audio,"[19,27]"
4,ECA + Audio,"[20,21]"
4,ECA + Audio,"[20,21]"
4,UI + Audio,"[10,25]"
4,UI + Audio,"[10,25]"
4,UI + kein Audio,"[14,26]"
4,UI + kein Audio,"[14,26]"
