PersonID,TestCondition,TestResult,CorrectComponent,SelectedComponent
15,PreTest,false,19,-2
15,PreTest,true,6,6
15,PreTest,false,18,-2
15,PreTest,false,15,-2
15,PreTest,true,7,7
15,PreTest,false,16,27
15,PreTest,false,27,-2
15,PreTest,true,17,17
15,PreTest,false,25,-1
15,PreTest,false,26,-2
15,PreTest,false,14,-2
15,PostTest,true,25,25
15,PostTest,false,19,18
15,PostTest,false,18,21
15,PostTest,true,26,26
15,PostTest,true,16,16
15,PostTest,true,15,15
15,PostTest,true,14,14
15,PostTest,true,27,27
17,PreTest,false,25,-2
17,PreTest,false,9,-2
17,PreTest,false,21,-2
17,PreTest,false,17,-2
17,PreTest,false,14,-2
17,PreTest,false,26,-2
17,PreTest,false,15,-2
17,PreTest,false,13,-2
17,PostTest,false,17,-2
17,PostTest,false,13,-2
17,PostTest,true,15,15
17,PostTest,false,26,14
17,PostTest,true,14,14
17,PostTest,true,25,25
17,PostTest,true,21,21
17,PostTest,true,9,9
8,PreTest,false,24,-2
8,PreTest,false,10,-2
8,PreTest,false,19,-2
8,PreTest,false,20,-2
8,PreTest,false,22,-2
8,PreTest,false,15,-2
8,PreTest,false,21,-2
8,PreTest,false,11,-2
8,PostTest,true,21,21
8,PostTest,true,11,11
8,PostTest,false,15,19
8,PostTest,true,10,10
8,PostTest,true,22,22
8,PostTest,true,24,24
8,PostTest,false,20,-2
8,PostTest,false,19,-2
9,PreTest,false,26,22
9,PreTest,false,23,-2
9,PreTest,false,14,27
9,PreTest,false,15,-2
9,PreTest,false,13,27
9,PreTest,false,16,23
9,PreTest,false,21,27
9,PreTest,false,25,16
9,PostTest,false,25,23
9,PostTest,false,21,12
9,PostTest,true,15,15
9,PostTest,false,26,-2
9,PostTest,false,14,25
9,PostTest,false,23,22
9,PostTest,false,16,27
9,PostTest,false,13,8
10,PreTest,false,11,-2
10,PreTest,false,21,-2
10,PreTest,false,26,11
10,PreTest,true,9,9
10,PreTest,true,6,6
10,PreTest,false,14,-1
10,PreTest,false,8,11
10,PreTest,false,19,18
10,PreTest,true,25,25
10,PreTest,false,4,-2
10,PreTest,false,27,16
10,PostTest,true,8,8
10,PostTest,true,4,4
10,PostTest,false,11,13
10,PostTest,true,14,14
10,PostTest,true,19,19
10,PostTest,false,26,8
10,PostTest,true,21,21
10,PostTest,true,27,27
12,PreTest,false,18,22
12,PreTest,false,25,-2
12,PreTest,false,11,-2
12,PreTest,false,12,6
12,PreTest,false,15,-2
12,PreTest,true,9,9
12,PreTest,false,20,-1
12,PreTest,true,10,10
12,PreTest,false,17,-1
12,PreTest,false,8,15
12,PostTest,false,18,15
12,PostTest,true,12,12
12,PostTest,true,15,15
12,PostTest,true,17,17
12,PostTest,false,20,25
12,PostTest,true,8,8
12,PostTest,false,11,27
12,PostTest,false,25,23
13,PreTest,false,13,-2
13,PreTest,false,10,-2
13,PreTest,false,9,-2
13,PreTest,false,22,-2
13,PreTest,false,20,-2
13,PreTest,false,12,-2
13,PreTest,false,25,-2
13,PreTest,false,27,-2
13,PostTest,true,25,25
13,PostTest,true,20,20
13,PostTest,true,22,22
13,PostTest,true,27,27
13,PostTest,true,10,10
13,PostTest,true,13,13
13,PostTest,true,12,12
13,PostTest,true,9,9
31,PreTest,false,19,-1
31,PreTest,false,17,22
31,PreTest,false,22,-2
31,PreTest,false,10,-2
31,PreTest,false,14,27
31,PreTest,false,24,-2
31,PreTest,false,13,11
31,PreTest,false,27,8
31,PostTest,true,10,10
31,PostTest,false,13,22
31,PostTest,true,22,22
31,PostTest,true,27,27
31,PostTest,true,14,14
31,PostTest,true,17,17
31,PostTest,true,19,19
31,PostTest,true,24,24
2,PreTest,true,8,8
2,PreTest,false,22,-1
2,PreTest,false,24,-2
2,PreTest,true,10,10
2,PreTest,true,23,23
2,PreTest,false,17,-2
2,PreTest,true,6,6
2,PreTest,false,21,-2
2,PreTest,false,16,27
2,PreTest,false,19,-1
2,PreTest,false,4,-2
2,PreTest,true,12,12
2,PreTest,true,7,7
2,PreTest,true,13,13
2,PreTest,true,27,27
2,PreTest,false,14,20
2,PostTest,true,24,24
2,PostTest,true,4,4
2,PostTest,true,17,17
2,PostTest,true,22,22
2,PostTest,true,19,19
2,PostTest,true,21,21
2,PostTest,false,14,8
2,PostTest,false,16,14
16,PreTest,false,23,-2
16,PreTest,false,14,-2
16,PreTest,false,15,-2
16,PreTest,false,4,6
16,PreTest,false,26,-2
16,PreTest,false,20,-2
16,PreTest,false,22,-2
16,PreTest,false,9,-2
16,PostTest,true,26,26
16,PostTest,false,15,-2
16,PostTest,true,4,4
16,PostTest,false,23,17
16,PostTest,true,9,9
16,PostTest,false,14,15
16,PostTest,false,22,-2
16,PostTest,false,20,-2
6,PreTest,true,6,6
6,PreTest,false,14,7
6,PreTest,false,17,-2
6,PreTest,false,22,-2
6,PreTest,false,8,26
6,PreTest,false,24,-2
6,PreTest,true,10,10
6,PreTest,true,27,27
6,PreTest,false,26,21
6,PreTest,false,20,21
6,PreTest,false,25,-1
6,PostTest,true,17,17
6,PostTest,true,22,22
6,PostTest,true,26,26
6,PostTest,true,8,8
6,PostTest,true,24,24
6,PostTest,true,20,20
6,PostTest,true,14,14
6,PostTest,true,25,25
7,PreTest,true,10,10
7,PreTest,false,12,-2
7,PreTest,false,21,-2
7,PreTest,false,25,-2
7,PreTest,false,19,-2
7,PreTest,false,26,-2
7,PreTest,false,7,-2
7,PreTest,false,18,-2
7,PreTest,true,4,4
7,PreTest,false,6,-2
7,PostTest,false,6,19
7,PostTest,false,25,7
7,PostTest,false,12,21
7,PostTest,false,18,12
7,PostTest,false,19,18
7,PostTest,false,26,8
7,PostTest,false,7,25
7,PostTest,true,21,21
22,PreTest,false,11,6
22,PreTest,false,21,-2
22,PreTest,true,23,23
22,PreTest,false,18,17
22,PreTest,true,15,15
22,PreTest,false,22,11
22,PostTest,true,11,11
22,PostTest,true,21,21
22,PostTest,false,22,11
22,PostTest,true,18,18
11,PreTest,false,27,-2
11,PreTest,false,24,-2
11,PreTest,true,19,19
11,PreTest,true,4,4
11,PreTest,true,18,18
11,PreTest,false,20,8
11,PreTest,true,12,12
11,PreTest,false,21,-2
11,PreTest,true,23,23
11,PreTest,true,9,9
11,PreTest,true,10,10
11,PreTest,false,22,-2
11,PreTest,false,26,-2
11,PreTest,false,25,-2
11,PreTest,false,14,26
11,PostTest,true,27,27
11,PostTest,true,21,21
11,PostTest,true,25,25
11,PostTest,true,24,24
11,PostTest,false,26,20
11,PostTest,false,20,8
11,PostTest,true,22,22
11,PostTest,false,14,26
14,PreTest,false,13,17
14,PreTest,false,17,-2
14,PreTest,true,10,10
14,PreTest,false,25,13
14,PreTest,true,12,12
14,PreTest,true,7,7
14,PreTest,false,27,7
14,PreTest,false,6,-2
14,PreTest,false,24,-2
14,PreTest,false,19,-2
14,PreTest,false,18,-2
14,PostTest,true,25,25
14,PostTest,false,24,25
14,PostTest,true,18,18
14,PostTest,false,19,-1
14,PostTest,true,6,6
14,PostTest,true,17,17
14,PostTest,false,13,17
14,PostTest,true,27,27
19,PreTest,false,27,16
19,PreTest,false,12,6
19,PreTest,false,13,7
19,PreTest,false,16,19
19,PreTest,false,14,-2
19,PreTest,false,20,-2
19,PreTest,true,10,10
19,PreTest,false,21,25
19,PreTest,false,23,-2
19,PostTest,false,21,19
19,PostTest,true,13,13
19,PostTest,false,20,15
19,PostTest,false,27,19
19,PostTest,false,12,17
19,PostTest,false,23,17
19,PostTest,false,16,15
19,PostTest,false,14,15
18,"PreTest",false,20,16
18,"PreTest",true,9,9
18,"PreTest",false,21,-2
18,"PreTest",true,6,6
18,"PreTest",true,4,4
18,"PreTest",false,14,-2
18,"PreTest",true,7,7
18,"PreTest",true,24,24
18,"PreTest",false,8,20
18,"PreTest",false,10,-2
18,"PreTest",false,15,-2
18,"PreTest",false,17,11
18,"PreTest",false,16,15
18,"PostTest",false,8,16
18,"PostTest",true,17,17
18,"PostTest",false,21,20
18,"PostTest",true,20,20
18,"PostTest",true,16,16
18,"PostTest",true,10,10
18,"PostTest",false,14,12
18,"PostTest",true,15,15
3,"PreTest",false,17,22
3,"PreTest",false,19,-2
3,"PreTest",false,26,-2
3,"PreTest",true,9,9
3,"PreTest",false,27,22
3,"PreTest",false,22,-2
3,"PreTest",false,24,7
3,"PreTest",false,23,11
3,"PreTest",false,11,-1
3,"PostTest",false,26,23
3,"PostTest",false,19,-1
3,"PostTest",false,24,20
3,"PostTest",false,11,17
3,"PostTest",false,27,-1
3,"PostTest",false,17,-1
3,"PostTest",false,23,-1
