PersonID,Question,Answer,left,right,Condition
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,langweilig,spanned,UI + kein Audio
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,uninteressant,interessant,UI + kein Audio
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,einschläfernd,aktivierend,UI + kein Audio
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,minderwertig,wertvoll,UI + kein Audio
0,Ich konnte gut mit dem Agenten lernen,0,Stimme nicht zu,Stimme zu,UI + kein Audio
0,Der Agent hat mich Motiviert,0,Stimme nicht zu,Stimme zu,UI + kein Audio
0,Zum Lernen empfinde ich die Anwendung als:,0,langsam,schnell,UI + kein Audio
0,Zum Lernen empfinde ich die Anwendung als:,0,ineffizient,effizient,UI + kein Audio
0,Zum Lernen empfinde ich die Anwendung als:,0,unpragmatisch,pragmatisch,UI + kein Audio
0,Zum Lernen empfinde ich die Anwendung als:,0,überladen,aufgeräumt,UI + kein Audio
0,Die Gestaltung des Agenten hat mir gefallen,0,Stimme nicht zu,Stimme zu,UI + kein Audio
0,Ich konnte die Informationen gut verstehen,0,Stimme nicht zu,Stimme zu,UI + kein Audio
0,Durch die Abfrage des LLM Agenten konnte ich die Komponenten gut lernen,0,Stimme nicht zu,Stimme zu,
0,Die Möglichkeit das Produkt zu nutzen empfinde ich als:,0,nutzlos,nützlich,
0,Die Möglichkeit das Produkt zu nutzen empfinde ich als:,0,nicht hilfreich,hilfreich,
0,Die Möglichkeit das Produkt zu nutzen empfinde ich als:,0,nicht vorteilhaft,vorteilhaft,
0,Die Möglichkeit das Produkt zu nutzen empfinde ich als:,0,nicht lohnend,lohnend,
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,langweilig,spanned,UI + kein Audio
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,uninteressant,interessant,UI + kein Audio
0,Die Beschäftigung mit dem Produkt empfinde ich als:,0,einschläfernd,aktivierend,UI + kein Audio
