PersonID,Role,TypeOfRecording,Timestamp,ToolCall,Condition
4,System,TextCompletion,25.11.2024 13:46:24,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:46:24,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:46:24,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:46:24,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:46:26,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:46:26,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:46:26,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:46:28,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:46:28,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:46:28,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:46:28,null,ECA + kein Audio
4,User,Recording,25.11.2024 13:46:57,null,ECA + kein Audio
4,User,Recording,25.11.2024 13:47:05,null,ECA + kein Audio
4,User,STT,25.11.2024 13:47:06,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:47:08,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:47:09,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:09,null,ECA + kein Audio
4,User,TextCompletion,25.11.2024 13:47:10,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:11,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:47:11,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:11,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:11,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:47:24,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:47:26,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:26,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:47:28,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:47:59,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:48:00,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:48:00,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:48:02,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:48:32,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:48:35,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:48:35,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:48:37,null,ECA + kein Audio
4,User,Recording,25.11.2024 13:48:49,null,ECA + kein Audio
4,User,STT,25.11.2024 13:48:52,null,ECA + kein Audio
4,User,TextCompletion,25.11.2024 13:48:56,null,ECA + kein Audio
4,Tool,TextCompletion,25.11.2024 13:48:57,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:49:00,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:49:00,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:49:01,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:49:20,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:49:21,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:49:21,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:49:22,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:50:37,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:50:43,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:50:43,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:50:45,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:50:49,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:50:58,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:50:58,null,ECA + kein Audio
4,Assistant,TTS,25.11.2024 13:51:00,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:12,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:12,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:12,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:12,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:59:16,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:25,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 13:59:25,null,ECA + kein Audio
4,Answer,TextCompletion,25.11.2024 13:59:26,null,ECA + kein Audio
4,System,TextCompletion,25.11.2024 14:00:05,null,ECA + kein Audio
